ClientID,age,job,marital,education,default,balance,housing,loan,contact,month,pdays,previous,poutcome,actual_subscription,prediction_probability,prediction_high_precision,prediction_high_recall,prediction_balanced
0,30,unemployed,married,primary,no,1787,no,no,cellular,oct,-1,0,unknown_outcome,No,0.085,No,No,No
1,33,services,married,secondary,no,4789,yes,yes,cellular,may,339,4,failure,No,0.025,No,No,No
2,35,management,single,tertiary,no,1350,yes,no,cellular,apr,330,1,failure,No,0.05,No,No,No
3,30,management,married,tertiary,no,1476,yes,yes,unspecified,jun,-1,0,unknown_outcome,No,0.015,No,No,No
4,59,blue-collar,married,secondary,no,0,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.15,No,Yes,No
5,35,management,single,tertiary,no,747,no,no,cellular,feb,176,3,failure,No,0.05,No,No,No
6,36,self-employed,married,tertiary,no,307,yes,no,cellular,may,330,2,other,No,0.235,No,Yes,No
7,39,technician,married,secondary,no,147,yes,no,cellular,may,-1,0,unknown_outcome,No,0.065,No,No,No
8,41,entrepreneur,married,tertiary,no,221,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.025,No,No,No
9,43,services,married,primary,no,-88,yes,yes,cellular,apr,147,2,failure,No,0.015,No,No,No
10,39,services,married,secondary,no,9374,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.28,No,Yes,No
11,43,admin.,married,secondary,no,264,yes,no,cellular,apr,-1,0,unknown_outcome,No,0.05,No,No,No
12,36,technician,married,tertiary,no,1109,no,no,cellular,aug,-1,0,unknown_outcome,No,0.055,No,No,No
13,20,student,single,secondary,no,502,no,no,cellular,apr,-1,0,unknown_outcome,Yes,0.16,No,Yes,No
14,31,blue-collar,married,secondary,no,360,yes,yes,cellular,jan,241,1,failure,No,0.105,No,No,No
15,40,management,married,tertiary,no,194,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.195,No,Yes,No
16,56,technician,married,secondary,no,4073,no,no,cellular,aug,-1,0,unknown_outcome,No,0.17,No,Yes,No
17,37,admin.,single,tertiary,no,2317,yes,no,cellular,apr,152,2,failure,No,0.025,No,No,No
18,25,blue-collar,single,primary,no,-221,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.225,No,Yes,No
19,31,services,married,secondary,no,132,no,no,cellular,jul,152,1,other,No,0.305,No,Yes,No
20,38,management,divorced,tertiary,no,0,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.005,No,No,No
21,42,management,divorced,tertiary,no,16,no,no,cellular,nov,-1,0,unknown_outcome,No,0.26,No,Yes,No
22,44,services,single,secondary,no,106,no,no,unspecified,jun,-1,0,unknown_outcome,No,0.215,No,Yes,No
23,44,entrepreneur,married,secondary,no,93,no,no,cellular,jul,-1,0,unknown_outcome,No,0.21,No,Yes,No
24,26,housemaid,married,tertiary,no,543,no,no,cellular,jan,-1,0,unknown_outcome,No,0.12,No,Yes,No
25,41,management,married,tertiary,no,5883,no,no,cellular,nov,-1,0,unknown_outcome,No,0.06,No,No,No
26,55,blue-collar,married,primary,no,627,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.02,No,No,No
27,67,retired,married,secondary,no,696,no,no,telephone,aug,105,2,failure,No,0.305,No,Yes,No
28,56,self-employed,married,secondary,no,784,no,yes,cellular,jul,-1,0,unknown_outcome,No,0.245,No,Yes,No
29,53,admin.,married,secondary,no,105,no,yes,cellular,aug,-1,0,unknown_outcome,No,0.3,No,Yes,No
30,68,retired,divorced,secondary,no,4189,no,no,telephone,jul,-1,0,unknown_outcome,Yes,0.32,No,Yes,No
31,31,technician,married,secondary,no,171,no,no,cellular,aug,-1,0,unknown_outcome,No,0.22,No,Yes,No
32,59,management,married,secondary,no,42,no,no,cellular,nov,-1,0,unknown_outcome,No,0.195,No,Yes,No
33,32,management,single,tertiary,no,2536,yes,no,cellular,aug,-1,0,unknown_outcome,Yes,0.355,No,Yes,No
34,49,technician,married,tertiary,no,1235,no,no,cellular,aug,-1,0,unknown_outcome,Yes,0.015,No,No,No
35,42,admin.,divorced,secondary,no,1811,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.07,No,No,No
36,78,retired,divorced,primary,no,229,no,no,telephone,oct,-1,0,unknown_outcome,Yes,0.06,No,No,No
37,32,blue-collar,married,secondary,no,2089,yes,no,cellular,nov,-1,0,unknown_outcome,Yes,0.17,No,Yes,No
38,33,management,married,secondary,no,3935,yes,no,cellular,may,342,2,failure,Yes,0.02,No,No,No
39,23,services,single,tertiary,no,363,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.425,No,Yes,Yes
40,38,management,single,tertiary,no,11971,yes,no,unspecified,nov,101,3,failure,No,0.53,No,Yes,Yes
41,36,management,single,tertiary,no,553,no,no,cellular,aug,-1,0,unknown_outcome,No,0.14,No,Yes,No
42,52,blue-collar,married,secondary,no,1117,yes,no,cellular,may,-1,0,unknown_outcome,No,0.52,No,Yes,Yes
43,32,technician,married,tertiary,no,396,yes,no,cellular,may,-1,0,unknown_outcome,No,0.035,No,No,No
44,32,technician,single,tertiary,no,2204,yes,no,cellular,nov,-1,0,unknown_outcome,No,0.095,No,No,No
45,34,management,single,tertiary,no,872,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.075,No,No,No
46,55,blue-collar,married,primary,no,145,no,no,telephone,feb,5,2,other,No,0.425,No,Yes,Yes
47,26,blue-collar,married,primary,no,0,yes,no,unspecified,may,-1,0,unknown_outcome,No,0.35,No,Yes,No
48,32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,feb,-1,0,unknown_outcome,No,0.455,No,Yes,Yes
49,61,admin.,married,secondary,no,4629,yes,no,cellular,jan,92,1,success,Yes,0.21,No,Yes,No
50,45,blue-collar,divorced,primary,no,844,no,no,unspecified,jun,-1,0,unknown_outcome,Yes,0.325,No,Yes,No
51,37,technician,single,secondary,no,228,yes,no,cellular,aug,-1,0,unknown_outcome,No,0.105,No,No,No
52,38,technician,single,secondary,no,50,no,no,cellular,aug,-1,0,unknown_outcome,No,0.02,No,No,No
53,34,technician,married,tertiary,no,1539,yes,no,cellular,jun,56,1,other,Yes,0.15,No,Yes,No
54,53,blue-collar,married,secondary,no,2231,yes,no,cellular,jul,-1,0,unknown_outcome,No,0.335,No,Yes,No
55,48,admin.,married,secondary,no,3064,yes,no,telephone,jul,-1,0,unknown_outcome,No,0.125,No,Yes,No
56,57,management,married,secondary,no,82,no,yes,telephone,feb,-1,0,unknown_outcome,No,0.015,No,No,No
57,33,self-employed,single,tertiary,no,2155,no,no,cellular,nov,-1,0,unknown_outcome,No,0.165,No,Yes,No
58,36,retired,single,secondary,no,101,yes,yes,unspecified,may,-1,0,unknown_outcome,No,0.04,No,No,No
